#      Train        Test
    0.795571     0.826389 
    0.771721     0.798611 
    0.761499     0.861111 
    0.785349     0.868056 
    0.768313     0.805556 
    0.781942     0.756944 
    0.768313     0.854167 
    0.787053     0.895833 
    0.778535     0.868056 
    0.764906     0.868056 
    0.795571     0.854167 
    0.761499     0.902778 
    0.776831     0.833333 
    0.824532        0.875 
    0.795571     0.826389 
    0.795571     0.868056 
    0.773424     0.840278 
    0.800681     0.840278 
    0.773424         0.75 
    0.747871     0.826389 
    0.807496     0.805556 
    0.770017        0.875 
    0.764906     0.861111 
    0.778535     0.868056 
    0.771721     0.854167 
    0.771721        0.875 
    0.792164     0.826389 
    0.768313     0.861111 
    0.758092     0.888889 
    0.783646     0.895833 
    0.781942     0.826389 
    0.775128     0.840278 
     0.76661     0.847222 
    0.780239     0.888889 
    0.787053     0.819444 
    0.783646     0.881944 
     0.81431     0.861111 
    0.804089     0.868056 
    0.730835     0.805556 
    0.770017     0.868056 
    0.788756     0.777778 
     0.79046        0.875 
    0.775128     0.895833 
    0.795571     0.819444 
    0.778535     0.701389 
     0.76661     0.798611 
    0.761499        0.875 
     0.81431     0.854167 
    0.800681     0.854167 
    0.770017     0.840278 
    0.775128     0.854167 
    0.778535     0.847222 
    0.792164     0.847222 
    0.792164     0.861111 
    0.780239     0.861111 
    0.783646     0.826389 
     0.79046     0.840278 
    0.771721       0.8125 
     0.79046     0.847222 
    0.795571     0.826389 
    0.783646     0.881944 
    0.781942     0.840278 
    0.785349     0.819444 
    0.781942     0.881944 
    0.788756     0.861111 
    0.785349     0.833333 
    0.809199     0.826389 
    0.776831     0.854167 
    0.788756     0.854167 
    0.761499     0.833333 
    0.780239     0.888889 
    0.785349     0.854167 
    0.798978        0.875 
    0.805792     0.868056 
    0.802385     0.833333 
    0.807496     0.861111 
    0.792164     0.888889 
     0.79046        0.875 
    0.776831     0.861111 
    0.793867     0.868056 
    0.802385     0.826389 
    0.778535     0.861111 
    0.807496     0.881944 
    0.797274     0.854167 
    0.776831        0.875 
    0.778535     0.840278 
    0.795571     0.861111 
    0.798978     0.868056 
    0.781942     0.819444 
    0.804089     0.847222 
    0.781942     0.854167 
    0.781942     0.861111 
    0.785349       0.8125 
    0.788756     0.854167 
    0.805792     0.861111 
    0.776831     0.881944 
    0.797274     0.756944 
    0.787053     0.895833 
    0.804089     0.868056 
    0.770017     0.826389 
    0.768313     0.881944 
    0.816014     0.840278 
     0.81431     0.881944 
    0.788756     0.861111 
    0.761499     0.861111 
    0.781942     0.861111 
    0.771721        0.875 
    0.805792     0.868056 
    0.802385     0.847222 
    0.785349     0.840278 
    0.816014     0.833333 
    0.792164        0.875 
     0.79046     0.861111 
    0.792164     0.819444 
    0.793867     0.805556 
    0.747871     0.840278 
    0.809199     0.840278 
    0.775128     0.819444 
    0.795571        0.875 
    0.773424     0.888889 
     0.79046     0.868056 
    0.807496     0.888889 
    0.797274     0.881944 
    0.793867     0.854167 
    0.788756     0.861111 
    0.795571     0.805556 
    0.833049     0.895833 
    0.807496     0.881944 
    0.804089     0.861111 
    0.800681     0.902778 
    0.775128     0.895833 
    0.792164     0.881944 
