#      Train        Test
     4.98075       3.4277 
        4.99       4.0163 
     5.24899       4.0609 
     4.88691      4.12105 
     5.14416      4.71407 
     5.10168      3.97384 
     5.39118      4.20277 
     5.12877      3.81149 
      5.1342      4.28363 
     4.87477      4.67262 
     5.20308      4.40267 
     5.13205      3.29579 
     4.81286      3.79481 
     5.17274      4.09428 
     5.04961      4.67515 
     4.90688       4.3187 
     5.01971      5.15032 
     5.13142      3.49826 
     4.83016      3.83498 
     4.83605      4.04664 
     5.36128      4.02222 
     4.99644      3.58076 
     5.08668      4.12459 
     5.09959      3.64108 
     5.04096      3.53875 
     5.19922      5.49364 
     5.13706      5.34673 
     4.90556      5.01555 
     4.80846      4.53476 
     4.83999      3.26513 
     4.58324      3.83048 
      4.7652      3.87447 
     5.22682      3.63145 
     4.87775      3.97973 
     4.95083      3.63156 
     4.74133      3.36746 
     4.79919      3.41016 
     4.85884      3.45219 
     4.55068      3.70989 
     4.74752       3.6452 
     4.45515      3.90478 
     4.72678      3.93344 
     4.96771      4.33597 
     4.91522      4.10395 
     4.83801      3.34051 
     4.80587      4.42355 
     4.62147      4.28854 
      4.7961      4.19752 
       4.805      3.42188 
     4.61106       3.5173 
      4.9681      3.55179 
     4.45965      3.68463 
     4.73818      3.55941 
     4.83731       4.0995 
     4.31634      3.56331 
     4.56936      4.01445 
     4.59383      3.69669 
     4.97187      3.97869 
     4.69954       4.3027 
      4.7392       5.1292 
     4.98231      4.40671 
     4.58235      4.66225 
     4.82992       3.7226 
     4.74582       3.9376 
     4.92547      3.18153 
     4.76071       3.9761 
     4.87197       3.7335 
     4.74013       4.1863 
     4.82129      3.41387 
     4.88712      3.02326 
     4.56824      3.61735 
     4.63286       4.3253 
     4.70159      3.90392 
     4.89891      4.27816 
     4.78355      3.45463 
     4.76398      4.14849 
     4.70419      3.69087 
     4.73982      3.91441 
     4.61632      4.12049 
       5.118      4.26243 
     4.86124       3.5549 
      4.5955      4.54994 
     4.60403      4.23521 
       4.853      3.06372 
     4.66814      3.79018 
     4.75898      5.63681 
     5.12215      4.95322 
     4.97184      3.32946 
     4.48487      3.82135 
     4.68502      4.08103 
     4.93129      4.13133 
     4.66764      3.71141 
     4.83572      3.74976 
     4.62285      4.08982 
     4.67629      3.45379 
      4.8119      3.72662 
      4.6297      4.05179 
     4.79001      4.25616 
     4.93444      4.54417 
     4.97824      3.62075 
     4.57039      4.57194 
     4.73066      4.14742 
     4.74415      4.05267 
     4.65116      3.99685 
     4.69191      3.39989 
     4.73471      3.89639 
     4.70346      4.13993 
     4.77046      4.09052 
     4.75728      3.77717 
     4.74432      4.03509 
     4.87116      3.71721 
      4.5762      3.73023 
     4.55313      3.95348 
     4.72208      3.60721 
     4.62481      3.50426 
     4.58859      3.87701 
     4.60814      3.57086 
     4.86689      2.87033 
     4.56657      3.45309 
     4.87149      3.99418 
     4.71402       3.4597 
     4.49697      4.35319 
     4.66914      3.11752 
     4.45588      3.39429 
     4.46399      4.00766 
     4.87338      3.45361 
     4.73126       3.8821 
     4.58574      3.53838 
     4.37841      3.17615 
     4.67188      3.90592 
     4.62893      3.80666 
      4.8403      3.68695 
     4.74321      3.87782 
     4.66843      4.31642 
     4.55793      3.81171 
     4.38321        3.879 
     4.59649      3.39916 
     4.67561      5.39621 
     4.65187      3.75288 
     4.72423      3.22477 
     5.13867      4.39497 
     4.77082       4.1398 
     4.39501        4.082 
     4.43827      3.07208 
     4.64833      3.50268 
     4.83644      3.77157 
     4.92107      3.90227 
     4.79097      3.31992 
     4.16579      4.09229 
     4.45662      4.06474 
     4.67037      3.77626 
     4.36565       4.2561 
     4.51102      3.59289 
      4.6416      3.63552 
     4.60145      4.47497 
     4.62859      4.46773 
     5.00313      4.10306 
